已发布: 27

4287  ||  已发布  ||  开篇词 | 掌握数据挖掘，搭上划时代的数字化列车  ||  badcb83ec7ef47fd8e3964e9097e4359
4288  ||  已发布  ||  01 | 数据挖掘，到底在解决什么问题？  ||  0691ba9b8a31476483595349010b795a
4289  ||  已发布  ||  02 | Python 的数据结构和基本语法  ||  345a0b16d9e2491b9a37fd43454a6099
4290  ||  已发布  ||  03 | 工欲善其事必先利其器，扩展包与 Python 环境  ||  2d10c32bfbe6493c893b484b2b7c2b15
4291  ||  已发布  ||  04 | 理解业务和数据：我们需要做好什么计划？  ||  9193b72e9bcf4ce5b6c5ee86d795bc32
4292  ||  已发布  ||  05 | 准备数据：如何处理出完整、干净的数据？  ||  a4e40dfef70544c79e83e2c9cfeb5e5d
4293  ||  已发布  ||  06 | 数据建模：该如何选择一个适合我需求的算法？  ||  04cfcb4e2cd14fd0b83c0bef4623a89f
4294  ||  已发布  ||  07 | 模型评估：如何确认我们的模型已经达标？  ||  5752e60b6b7a427bac4fb80d64d0eeb2
4295  ||  已发布  ||  08 | 模型应用：我们的模型是否可以解决业务需求？  ||  9f0c01c8c0184bb794f0f2a010397216
4296  ||  已发布  ||  09 | KNN 算法：近朱者赤，近墨者黑  ||  be7388e458fa40dcac25f0480bc135b0
4297  ||  已发布  ||  10 | 决策树：女神使用的约会决策  ||  7a273bd2f20249719504cb3b5677fe6e
4298  ||  已发布  ||  11 | 朴素贝叶斯：算一算你是否要买延误险  ||  a368cd9727e24ccea787782e8932c9cc
4299  ||  已发布  ||  12 | 支持向量机（SVM）：用一条线分开红豆与绿豆  ||  e53afeb97c93461ca0441a51e1ae587d
4300  ||  已发布  ||  13 | 人工神经网络：当前最火热的深度学习基础  ||  4085d0eda2e445c3a76a1badf614580e
4301  ||  已发布  ||  14 | 实践 1：使用 XGB 实现酒店信息消歧  ||  5bfdd5a44b634841a933d066ac210cb9
4302  ||  已发布  ||  15 | k-means 聚类：擒贼先擒王，找到中心点，它附近的都是一类  ||  2d151203b78543dd9f79c39fb6e5edee
4303  ||  已发布  ||  16 | DBScan 聚类：打破形状的限制，使用密度聚类  ||  f7ac959369994a92ae4a4e6d2b130138
4304  ||  已发布  ||  17 | 实践 2：如何使用 word2vec 和 k-means 聚类寻找相似的城市  ||  96c324a2f55547f0afafaeb8cc4cd2fa
4305  ||  已发布  ||  18 | 线性回归与逻辑回归:找到一个函数去拟合数据  ||  bd24e1adbb4747fbb1006a4a43928e47
4306  ||  已发布  ||  19 | 实践 3：使用线性回归预测房价  ||  a553064e3bf240818cf7cf5cb6fb73a6
4307  ||  已发布  ||  20 | Apriori 与 FP-Growth：不得不再说一遍啤酒与尿布的故事  ||  643d3561b2514fe4bdd4c542063c72b7
4308  ||  已发布  ||  21 | 实践 4：用关联分析找到景点与玩法的关系  ||  50d25d00804a467a84e2b400c489aa8e
4309  ||  已发布  ||  22 | TF-IDF：一种简单、古老，但有用的关键词提取技术  ||  95d6e8af7f114e58a63300a000eab172
4310  ||  已发布  ||  23 | word2vec：让文字可以进行逻辑运算，女人+王冠=女王  ||  257d697f0eed453d93b131c3923a47a4
4311  ||  已发布  ||  24 | 实践 5：使用 fastText 进行新闻文本分类  ||  8d7bab2821da4a519330d6d8401f060b
4312  ||  已发布  ||  彩蛋 | 数据挖掘工程师如何进阶  ||  971cba66b8cd430eb42c57328b5485bb
4313  ||  已发布  ||  结语 | 培养数据挖掘思维，终身学习  ||  4d2aa77f30be4a24b1a3a3710067cd0b
