已发布: 23

4974  ||  已发布  ||  开篇词 | 掌握深度学习，畅游 AI 时代  ||  403dabf38c124f3aba5eb7bcfe2a4e4a
4975  ||  已发布  ||  01 | 从神经元说起：数学篇  ||  3d0a62a41d37454d8d319e1afa96a777
4976  ||  已发布  ||  02 | 从神经元说起：结构篇  ||  4d1fc7c0c2e94f21876186c1be3fcfab
4977  ||  已发布  ||  03 | AI 术语：让你变得更加专业  ||  4bfa756da8334dc2811ee74d52afbe0f
4978  ||  已发布  ||  04 | 函数与优化方法：模型的自我学习（上）  ||  5e59bf45ceb44fd1a43bd1705f477a63
4979  ||  已发布  ||  05 | 前馈网络与反向传播：模型的自我学习（下）  ||  9e88a61115b545baab43b86354a70268
4980  ||  已发布  ||  06 | 线性回归模型：在问题中回顾与了解基础概念  ||  55783d682268426bbab370b6a6b608dc
4981  ||  已发布  ||  07 | 卷积神经网络：给你的模型一双可以看到世界的眼睛  ||  f368c63ecfd744fbb66cdd0e90ee429c
4982  ||  已发布  ||  08 | RNN 与 LSTM：模型也可以持续不断地思考  ||  b499f47557204b99b92f8ef32846124a
4983  ||  已发布  ||  09 | 自编码器：让模型拥有属于自己的表达和语言  ||  0e74da5dede54edcbf9c69ab08e19d06
4984  ||  已发布  ||  10 | 生成式对抗网络：艺术创造也可以成为深度学习的拿手好戏  ||  dd173d3ab4804e42b0f1f35764f52f0c
4985  ||  已发布  ||  11 | 集成、共享、敏捷：Jupyter Notebook 的使用  ||  7df243c0270848f2be5c5052dd6ceadf
4986  ||  已发布  ||  12 | 数据预处理：让模型学得更好  ||  3dfcaede4a724e889985941adb42acf6
4987  ||  已发布  ||  13 | 张量、数据流图与概念：初步了解 TensorFlow  ||  875ddf52e45b44a99b1587c300fca0f9
4988  ||  已发布  ||  14 | 工作机制与流程：通过手写识别深入了解 TensorFlow  ||  9dda4023f84b4651a045f55881297abb
4989  ||  已发布  ||  15 | TensorBoard：实验统计分析助手  ||  7a0090a32dc84b909f1e07dd4b4884fe
4990  ||  已发布  ||  16 | 图像分类：技术背景与常用模型解析  ||  37cb9472b7d6411e8b3c9520ef537215
4991  ||  已发布  ||  17 | 图像分类：实现你的第一个图像分类实战项目  ||  14f52cbe3adc4360ab9e83d6c7b24d55
4992  ||  已发布  ||  18 | 语义分割：技术背景与算法剖析  ||  258aefe399e447459218860b118f898b
4993  ||  已发布  ||  19 | 语义分割：打造简单高效的人像分割模型  ||  2a5e3e442600470793b0ca21daa6b6ab
4994  ||  已发布  ||  20 | 文本分类：技术背景与经典网络结构介绍  ||  0872d056c53f4669b09ac94cafebed4c
4995  ||  已发布  ||  21 | 文本分类：用 Bert 做出一个优秀的文本分类模型  ||  3f6b84d16f784435b48bd81d997fe12f
4996  ||  已发布  ||  结束语 | 掌握深度学习，搭上 AI 快车  ||  91696d670e184f7d940d022b61392925
