已发布: 22

5324  ||  已发布  ||  开篇词 | 让我们把 DDD 的思想真正落地  ||  ffff35f1e1e24e61a7954c8a64bb73db
5325  ||  已发布  ||  01 | DDD ：杜绝软件退化的利器  ||  dcc1348759d14d17a4c5c1674ba97b08
5326  ||  已发布  ||  02 | 以电商支付功能为例演练 DDD  ||  b36b22d65a084941a3be7aa8c414e522
5327  ||  已发布  ||  03 | DDD 是如何落地到数据库设计的？  ||  a503acfa92f64a3ead35bbf0cd484840
5328  ||  已发布  ||  04 | 领域模型是如何指导程序设计的？  ||  da858bf6f49946398b889a412aa84fd5
5329  ||  已发布  ||  05 | 聚合、仓库与工厂：傻傻分不清楚  ||  3ce77971f5fa432e851ebbd3cf11e563
5330  ||  已发布  ||  06 | 限界上下文：冲破微服务设计困局的利器  ||  740145b23cb54d7d9e22681c68ed47fc
5331  ||  已发布  ||  07 | 在线订餐场景中是如何开事件风暴会议的？  ||  7740f29d3d4b4831b9bae3c1dfce7b96
5332  ||  已发布  ||  08 | DDD 是如何解决微服务拆分难题的？  ||  ad35858bdad94a26a8eccb9ca8847f1d
5333  ||  已发布  ||  09 | DDD 是如何落地微服务设计实现的？  ||  9b72e34f391345fb9158f634e19aab0e
5961  ||  已发布  ||  10 | 微服务落地的技术实践  ||  d67d97a4fdf64f6c996e15481f1f88c7
5334  ||  已发布  ||  11 | 解决技术改造困局的钥匙：整洁架构  ||  c26a9fd3a6084b43b565624db0b1df13
5335  ||  已发布  ||  12 | 如何设计支持快速交付的技术中台战略？  ||  4034eb93ddfb4e51b849db9a1be9dbb3
5336  ||  已发布  ||  13  |  如何实现支持快速交付的技术中台设计？  ||  36792129a1eb4249803d48e06c27e3f6
5337  ||  已发布  ||  14 | 如何设计支持 DDD 的技术中台？  ||  de8619aee8ca44b7b8109080c07c34ca
6021  ||  已发布  ||  15 | 如何设计支持微服务的技术中台？  ||  2770c3a38f17408988dde1969ac3add1
5338  ||  已发布  ||  16 | 基于 DDD 的代码设计演示（含 DDD 的技术中台设计）  ||  6c5dc2bb3c584d558b7d1a09e96dbac3
5339  ||  已发布  ||  17 | 基于 DDD 的微服务设计演示（含支持微服务的 DDD 技术中台设计）  ||  e7eadce09ea34a8d9637497a7c88d090
6200  ||  已发布  ||  18 | 基于事件溯源的设计开发  ||  3f468e9cab8e406094f43593d44ffa8f
5340  ||  已发布  ||  19 | 远程智慧医疗平台（微服务+人工智能）的设计过程  ||  ee8f2f7a96c2405ab34d37d40600ec97
5341  ||  已发布  ||  20 | 智能温控系统（嵌入式+物联网）的 DDD 设计过程  ||  3f6b531c403c46ed9b66fa2ee7381a81
5342  ||  已发布  ||  结束语 | DDD 为你打开通向光明未来的大门  ||  104f206a03504304920e45ca506119d5
