已发布: 23

5743  ||  已发布  ||  开篇词 | 落地 DevOps，你需要一个全局视角  ||  73e62e1d5ff2433c8d318e7e7e5a09f7
5744  ||  已发布  ||  01 | 追本溯源：DevOps 的发展历史回顾  ||  a2be3a1b104146f2b339ea978d2c9ecc
5745  ||  已发布  ||  02 | 影响地图：产品规划和需求分析的利器  ||  2fa0722e6c594aa5844a0e05132484aa
5746  ||  已发布  ||  03 | 用户故事：对用户需求达成共识的关键  ||  2011edad9c9a434fa532ba2af3682d26
5747  ||  已发布  ||  04 | 看板方法：成员工作内容清楚明白方法  ||  30f4ad61209b40ee8b2f12dc6c13f593
5748  ||  已发布  ||  05 | 非功能需求：如何有效关注非功能需求  ||  b114a23d6ce94d11889b90623cdc2084
5749  ||  已发布  ||  06 | 代码预检查：提高入库代码质量的神兵利器  ||  03ae8fb7a8c741189eded4e8be826ced
5750  ||  已发布  ||  07 | 案例分析：如何有效管理第三方组件  ||  e473fda2d1174be4800d2605b061f2ff
5751  ||  已发布  ||  08 | 技术债务：勤借勤还，再借不难  ||  01703e377e9f484aa3e32b5556d94d64
5752  ||  已发布  ||  09 | 配置管理：实现一包到底的必胜手段  ||  048b360fddcb4a8abfef24143fe7d82d
5753  ||  已发布  ||  10 | 环境管理：交付测试环境的迅猛方法  ||  884d0fc9e9bd42688bba9135a9d2bd7c
5754  ||  已发布  ||  11 | 持续集成：软件持续集成，发布信手拈来  ||  f58d18fcfd814884a8907d6fdee6556f
5755  ||  已发布  ||  12 | API 管理：微服务时代的必备工具  ||  fa1a30023c944dbfb9938e1108611c6e
5756  ||  已发布  ||  13 | 自动化测试：提高测试效率的不二之选  ||  cfd92ecfa9a848698524f430a0a03d3f
5757  ||  已发布  ||  14 | 部署流水线：打造一站式部署的关键平台  ||  01f8e008aed5461ba0e0dc1cf28f21f5
5758  ||  已发布  ||  15 | 混沌工程，通过问题注入提高系统可靠性  ||  01c842c2c2fe4517b7ce723bfd2e098c
5759  ||  已发布  ||  16 | 案例分析：百度效率云是如何做代码审查的  ||  5d6f814be9754593bf44f0a28a2c5aca
5760  ||  已发布  ||  17 | 度量指标：寻找真正的好指标？  ||  8cb5907216b941c2b2a2d9ec84806413
5761  ||  已发布  ||  18 | 团队能力：团队能力=交付能力  ||  87f34c406d6c49a68e27d15fa52a42fd
5762  ||  已发布  ||  19 | 响应速度：天下武功，唯快不破  ||  586cfc6ad93842f680b3c34fad41c290
5763  ||  已发布  ||  20 | 软件质量：决定系统成功的关键  ||  255e5c26db8b48f588ff9574f50cefc5
5764  ||  已发布  ||  21 | 业务价值：软件发布的最终目的  ||  c85ba4c07125410789e5f2c076562849
5765  ||  已发布  ||  结束语 | DevOps，下一站在哪里？  ||  ab8af765574044ea99c6e7a8d1ffea72
