已发布: 16

6104  ||  已发布  ||  开篇词 | 职场是一场多维度的竞争  ||  b1dfaf1f91a64b038ed0620b7241035a
6105  ||  已发布  ||  01 | 流程意识 ：如何成为善用流程的高手？  ||  7fc90e597d8a44b68bdf3ae3f8717665
6106  ||  已发布  ||  02 | 数据至上 ：如何用数据增强你的职场说服力  ||  0fdb584b16a046698ffa5e266d8ef375
6107  ||  已发布  ||  03 | 复盘技巧 ：深度复盘的三个步骤  ||  06d5f036a34343ba83686e94859d7707
6108  ||  已发布  ||  04 | 拆解方法 ：如何破解工作难题无从下手的尴尬  ||  e9856e88d1704220adaa91a133f0cd16
6109  ||  已发布  ||  05 | 优先思维：手中百件事，如何评估事情的优先级？  ||  ae3e008f12f244f7888140aec3b67eb5
6110  ||  已发布  ||  06 | 语言表达：教你清晰表达，高效沟通  ||  2d1393d18a464f45b6dce2ff07e1e3cb
6111  ||  已发布  ||  07 | 书面表达：让周报、汇报、纪要成为你的职场必杀技  ||  08cf11af1d974817b228bab6a1e89e25
6112  ||  已发布  ||  08 | 职场学习：不要让吃老本的心态毁了自己  ||  d451a80a5aad4a568663e406f79c9835
6113  ||  已发布  ||  09 | 工作技能：如何避免自己成为一个职场螺丝钉？  ||  3ec5be8755754ceb8acc68e886af0752
6114  ||  已发布  ||  10 | 行业视野：为啥你的领导就是比你厉害？  ||  4817cec03811495c9ffb93fc53bb5d2a
6115  ||  已发布  ||  11 | 商业思维：那些业务一把手想的都是啥？  ||  c0e74979f0cc4508ba89c60f70749cd3
6116  ||  已发布  ||  12 | 关系建立：什么样的人际关系才是对工作有价值的？  ||  b112a3175ffe4f2e895dc6ee0ed55682
6117  ||  已发布  ||  13 | 关系经营：如何让别人在关键时刻支持你？  ||  7c7d79901100486e8830363a5a49ea5f
6118  ||  已发布  ||  14 | 沟通说服：如何沟通才能让别人真心实意地帮你？  ||  6d7ecef6ec2144adaa8339f7a5d58215
6119  ||  已发布  ||  结束语 | 让晋升在个人修行中自然完成  ||  6f98a0f9e6124fbe9101f6611ff0bcc8
