已发布: 22

6348  ||  已发布  ||  开篇词 | 在管理艺术中寻找确定性的“工程逻辑”  ||  7fb6666807a44c1e9f38300d4513e13c
6349  ||  已发布  ||  01 | 稳定性（一）：如何应对事故并做好复盘？  ||  776e039b95ec454b88e7c8c6711bc07d
6350  ||  已发布  ||  02 | 稳定性（二）：可用性治理的三个关键要点  ||  8ae9cecce5ce439fbf4f4dbbe75570db
6351  ||  已发布  ||  03 | 稳定性（三）：那些年源源不断的“红包”事故  ||  c5c42cf91e484b07b1ac122b4ba8b23c
6352  ||  已发布  ||  04 | 技术债务：如何带领团队从困境中突围而出？  ||  3ee9a64d98374f8fa5e8da8e24f45d6a
6353  ||  已发布  ||  05 | 大项目：把握关键点，谋定而后动  ||  48197c0a009d41fa8803e7e91fd17c3e
6354  ||  已发布  ||  06 | 业务理解：深入业务是做好架构的前提  ||  2a2e63c6806642ffa6c6b75b7202653a
6355  ||  已发布  ||  07 | 架构设计：治理好系统复杂度才最务实  ||  780b0548e8d14a69a044f1599fbf9fdc
6356  ||  已发布  ||  08 | 定目标：让你的方向与公司的方向保持一致  ||  5432a1b31110472ba28cabcfa56e7849
6357  ||  已发布  ||  09 | 追过程：如何用 PDCA 做过程管理？  ||  c15a4b700bd4416096623007fe7d257b
6358  ||  已发布  ||  10 | 奖优罚劣：怎样传递我们"要什么"与“不要什么”？  ||  6009233302b0491fb16197c0808ccb7b
6359  ||  已发布  ||  11 | 勤沟通：在信任的基础上，让沟通简单且纯粹  ||  c651707eb91d45d8be531b8479d0666b
6360  ||  已发布  ||  12 | 建机制：规则流程越建越多，为何效果却越来越差？  ||  0000816cb9d44f5a91be0d35afd68d1c
6361  ||  已发布  ||  13 | 知人善用：借事修人，借人成事  ||  4423497bcc014f819988eaa185e9247c
6362  ||  已发布  ||  14 | 找到人：招聘是 Leader 的责任，不是 HR 的  ||  ab4ae929865d49fba3bfc0a85639675f
6363  ||  已发布  ||  15 | 能落地：90 天试用期，转正时我们要考察什么？  ||  2a0526cefc494f36aa55560250655318
6364  ||  已发布  ||  16 | 升级汰换：“心要慈，刀要快”  ||  07279b68321b4a908b0f93db2fe897be
6365  ||  已发布  ||  17 | 晋升：是不是技术到位、项目做好就够了？  ||  bb7e9c90992a4a2eae2f49d2af19c409
6366  ||  已发布  ||  18 | 跨团队：没有汇报线的人和事就是推不动？  ||  bc949ea3be0a40d8b03148a728cdd642
6367  ||  已发布  ||  19 | 做规划：除了交付和稳定性，还要规划什么？  ||  02fa0b1ddf2e446cb6ebb016de21f7e1
6368  ||  已发布  ||  20 | 接手新团队：士气低、交付迟、事故多发，如何下手解决？  ||  2885bd3fc8f54abd80e5314b6122cd8e
6369  ||  已发布  ||  结束语 | 岁月静好，技术人依然要负重前行  ||  348e823f3f6243e6bcb6e881b3f93ccc
